policy,episode,minimum_distance_m,final_distance_m,final_arm_max_speed,official_success_steps,20_once,20_end,25_once,25_end,30_once,30_end
ee,0,0.009749658316603986,0.009749658316603986,0.023403141647577286,36,1,1,1,1,1,1
ee,1,0.013065568510299734,0.013065568510299734,0.02237267792224884,34,1,1,1,1,1,1
ee,2,0.21595113281586792,0.5272396629450803,0.5547395944595337,0,0,0,0,0,0,0
ee,3,0.027760113333251367,0.05659094110335842,0.3685866892337799,0,0,0,0,0,0,0
ee,4,0.2712908453912602,0.4080433903585014,2.7846295833587646,0,0,0,0,0,0,0
ee,5,0.00677488889155677,0.006838239664219277,0.012663476169109344,31,1,1,1,1,1,1
ee,6,0.2466114655071092,0.3655418842243528,10.261496543884277,0,0,0,0,0,0,0
ee,7,0.011878173390859505,0.011878173390859505,0.0692397728562355,32,1,1,1,1,1,1
joint,0,0.009960240254463862,0.009960240254463862,0.08526156097650528,20,1,1,1,1,1,1
joint,1,0.007344768435387656,0.007344768435387656,0.03978980705142021,30,1,1,1,1,1,1
joint,2,0.007826219230944505,0.007826219230944505,0.02178981341421604,28,1,1,1,1,1,1
joint,3,0.011260868343403011,0.01673582857311926,0.017824754118919373,44,1,1,1,1,1,1
joint,4,0.015352236398142746,0.015352236398142746,0.05148761719465256,27,1,1,1,1,1,1
joint,5,0.012685388495737146,0.012685388495737146,0.05022698640823364,27,1,1,1,1,1,1
joint,6,0.0073090689929769526,0.015077165703835457,0.05412786453962326,38,1,1,1,1,1,1
joint,7,0.005996520775023621,0.005996520775023621,0.05609602481126785,25,1,1,1,1,1,1
