split	index	filename
test_split1.txt	0	2025-01-13-16-45-31
test_split1.txt	1	2025-01-14-10-28-24
test_split1.txt	2	2025-01-14-10-05-38
test_split1.txt	3	2025-01-10-15-34-33
test_split1.txt	4	2025-01-09-19-28-18
test_split1.txt	5	2025-01-14-09-57-36
test_split1.txt	6	2025-01-10-18-23-40
test_split1.txt	7	2025-01-13-19-08-03
test_split1.txt	8	2025-01-13-17-52-32
test_split1.txt	9	2025-01-09-18-34-34
test_split1.txt	10	2025-01-11-14-54-27
test_split1.txt	11	2025-01-09-18-21-40
test_split1.txt	12	2025-01-10-15-39-56
test_split1.txt	13	2025-01-13-18-59-44
test_split1.txt	14	2025-01-10-17-10-38
test_split1.txt	15	2025-01-09-14-11-58
test_split1.txt	16	2025-01-11-14-04-40
test_split1.txt	17	2025-01-13-10-51-29
test_split1.txt	18	2025-01-13-17-57-45
test_split1.txt	19	2025-01-14-11-53-50
test_split1.txt	20	2025-01-13-16-27-57
test_split1.txt	21	2025-01-10-16-37-45
test_split1.txt	22	2025-01-09-18-00-33
test_split1.txt	23	2025-01-13-11-52-19
test_split1.txt	24	2025-01-13-17-02-10
test_split1.txt	25	2025-01-09-13-57-17
test_split1.txt	26	2025-01-11-15-27-19
test_split1.txt	27	2025-01-11-15-18-22
test_split1.txt	28	2025-01-13-09-51-50
test_split1.txt	29	2025-01-11-15-32-26
test_split1.txt	30	2025-01-11-14-43-37
test_split1.txt	31	2025-01-09-17-51-35
test_split1.txt	32	2025-01-09-17-14-59
test_split1.txt	33	2025-01-09-15-08-11
test_split1.txt	34	2025-01-13-16-52-33
test_split1.txt	35	2025-01-13-19-29-01
test_split1.txt	36	2025-01-13-11-18-57
train_split1.txt	0	2025-01-13-09-43-29
train_split1.txt	1	2025-01-14-10-57-14
train_split1.txt	2	2025-01-13-18-32-31
train_split1.txt	3	2025-01-13-18-53-43
train_split1.txt	4	2025-01-13-10-14-56
train_split1.txt	5	2025-01-13-19-14-28
train_split1.txt	6	2025-01-13-11-37-50
train_split1.txt	7	2025-01-09-18-08-36
train_split1.txt	8	2025-01-13-18-40-21
train_split1.txt	9	2025-01-09-18-41-38
train_split1.txt	10	2025-01-11-12-22-42
train_split1.txt	11	2025-01-13-17-46-07
train_split1.txt	12	2025-01-11-14-35-33
train_split1.txt	13	2025-01-13-11-07-43
train_split1.txt	14	2025-01-13-10-05-22
train_split1.txt	15	2025-01-13-18-45-09
train_split1.txt	16	2025-01-10-16-19-15
train_split1.txt	17	2025-01-09-17-23-07
train_split1.txt	18	2025-01-10-16-30-49
train_split1.txt	19	2025-01-09-17-34-18
train_split1.txt	20	2025-01-11-13-55-45
train_split1.txt	21	2025-01-11-14-59-16
train_split1.txt	22	2025-01-09-14-47-32
