recording_id	split	condition	segment_index	start	end	success	text	external_rgb_samples	hand_rgb_samples	force_samples	proprioception_samples	excluded_official_issue	matched_usable
2025-01-11-14-43-37	test_split1.txt	no documented issue	0	1736603018.4308324	1736603020.581422	True	No action.	64	60	2153	1243	False	True
2025-01-11-14-43-37	test_split1.txt	no documented issue	1	1736603020.597623	1736603034.9809134	False	Pick square peg 3.	431	395	14381	8371	False	True
2025-01-11-14-43-37	test_split1.txt	no documented issue	2	1736603034.99778	1736603040.697478	True	No action.	171	161	5700	3250	False	True
2025-01-11-14-43-37	test_split1.txt	no documented issue	3	1736603040.7141714	1736603041.6476667	True	No action.	28	25	934	494	False	True
2025-01-13-17-51-11	train_split1.txt	no documented issue	0	1736787072.0854783	1736787074.4289346	True	No action.	71	64	2344	1378	False	True
2025-01-13-17-51-11	train_split1.txt	no documented issue	1	1736787074.4456282	1736787079.462247	True	Remove D-SUB.	151	133	5016	2878	False	True
2025-01-13-17-51-11	train_split1.txt	no documented issue	2	1736787079.478934	1736787082.728975	True	Place D-SUB.	98	90	3250	1857	False	True
2025-01-13-17-51-11	train_split1.txt	no documented issue	3	1736787082.7456431	1736787093.7957635	False	Remove bolt 4.	332	309	11050	6458	False	True
2025-01-13-17-51-11	train_split1.txt	no documented issue	4	1736787093.8127024	1736787095.5790415	True	No action.	53	52	1768	1000	False	True
2025-01-11-15-35-08	train_split1.txt	force/torque not valid for last action	0	1736606108.5816712	1736606112.9481752	True	No action.	131	117	4366	2483	False	True
2025-01-11-15-35-08	train_split1.txt	force/torque not valid for last action	1	1736606112.964894	1736606119.531691	True	Pick bolt 4.	197	181	6569	3691	False	True
2025-01-11-15-35-08	train_split1.txt	force/torque not valid for last action	2	1736606119.549388	1736606131.1648552	True	Insert bolt 4.	348	320	11614	6523	False	True
2025-01-11-15-35-08	train_split1.txt	force/torque not valid for last action	3	1736606131.1837742	1736606137.6648293	True	Pick Ethernet.	194	179	6480	3627	False	True
2025-01-11-15-35-08	train_split1.txt	force/torque not valid for last action	4	1736606137.6815643	1736606154.3815544	True	Insert Ethernet.	501	459	16700	9459	False	True
2025-01-11-15-35-08	train_split1.txt	force/torque not valid for last action	5	1736606154.3980966	1736606161.781531	True	Pick D-SUB.	222	204	7385	4060	False	True
2025-01-11-15-35-08	train_split1.txt	force/torque not valid for last action	6	1736606161.7982297	1736606176.3981545	True	Insert D-SUB.	438	409	14599	8215	False	True
2025-01-11-15-35-08	train_split1.txt	force/torque not valid for last action	7	1736606176.415841	1736606182.8982294	True	Pick USB.	194	187	6482	3641	False	True
2025-01-11-15-35-08	train_split1.txt	force/torque not valid for last action	8	1736606182.9150715	1736606196.1148565	True	Insert USB.	396	361	13204	7462	False	True
2025-01-11-15-35-08	train_split1.txt	force/torque not valid for last action	9	1736606196.1318235	1736606208.0481803	True	Pick large gear.	358	330	11917	6716	False	True
2025-01-11-15-35-08	train_split1.txt	force/torque not valid for last action	10	1736606208.0654814	1736606223.981648	True	Insert large gear.	478	445	15915	9024	False	True
2025-01-11-15-35-08	train_split1.txt	force/torque not valid for last action	11	1736606223.9981675	1736606230.7981002	True	Pick medium gear.	204	187	6800	3817	False	True
