recording_id	source	split	condition	segment_index	start	end	duration_s	success	text	action_family	object_name	external_rgb_samples	force_samples	proprioception_samples	excluded_official_issue	matched_usable	target_action
2025-01-11-14-43-37	v2_anchor	test_split1.txt	no documented issue	0	1736603018.4308324	1736603020.581422	2.15058970451355	True	No action.	no_action		64	2153	1243	False	True	False
2025-01-11-14-43-37	v2_anchor	test_split1.txt	no documented issue	1	1736603020.597623	1736603034.9809134	14.38329029083252	False	Pick square peg 3.	pick	square peg 3	431	14381	8371	False	True	True
2025-01-11-14-43-37	v2_anchor	test_split1.txt	no documented issue	2	1736603034.99778	1736603040.697478	5.699697971343994	True	No action.	no_action		171	5700	3250	False	True	False
2025-01-11-14-43-37	v2_anchor	test_split1.txt	no documented issue	3	1736603040.7141714	1736603041.6476667	0.933495283126831	True	No action.	no_action		28	934	494	False	True	False
2025-01-13-17-51-11	v2_anchor	train_split1.txt	no documented issue	0	1736787072.0854783	1736787074.4289346	2.343456268310547	True	No action.	no_action		71	2344	1378	False	True	False
2025-01-13-17-51-11	v2_anchor	train_split1.txt	no documented issue	1	1736787074.4456282	1736787079.462247	5.016618728637695	True	Remove D-SUB.	remove	D-SUB	151	5016	2878	False	True	True
2025-01-13-17-51-11	v2_anchor	train_split1.txt	no documented issue	2	1736787079.478934	1736787082.728975	3.2500410079956055	True	Place D-SUB.	place	D-SUB	98	3250	1857	False	True	True
2025-01-13-17-51-11	v2_anchor	train_split1.txt	no documented issue	3	1736787082.7456431	1736787093.7957635	11.05012035369873	False	Remove bolt 4.	remove	bolt 4	332	11050	6458	False	True	True
2025-01-13-17-51-11	v2_anchor	train_split1.txt	no documented issue	4	1736787093.8127024	1736787095.5790415	1.7663390636444092	True	No action.	no_action		53	1768	1000	False	True	False
2025-01-11-15-35-08	v2_anchor	train_split1.txt	force/torque not valid for last action	0	1736606108.5816712	1736606112.9481752	4.366503953933716	True	No action.	no_action		131	4366	2483	False	True	False
2025-01-11-15-35-08	v2_anchor	train_split1.txt	force/torque not valid for last action	1	1736606112.964894	1736606119.531691	6.5667970180511475	True	Pick bolt 4.	pick	bolt 4	197	6569	3691	False	True	True
2025-01-11-15-35-08	v2_anchor	train_split1.txt	force/torque not valid for last action	2	1736606119.549388	1736606131.1648552	11.615467309951782	True	Insert bolt 4.	insert	bolt 4	348	11614	6523	False	True	True
2025-01-11-15-35-08	v2_anchor	train_split1.txt	force/torque not valid for last action	3	1736606131.1837742	1736606137.6648293	6.481055021286011	True	Pick Ethernet.	pick	Ethernet	194	6480	3627	False	True	True
2025-01-11-15-35-08	v2_anchor	train_split1.txt	force/torque not valid for last action	4	1736606137.6815643	1736606154.3815544	16.699990034103394	True	Insert Ethernet.	insert	Ethernet	501	16700	9459	False	True	True
2025-01-11-15-35-08	v2_anchor	train_split1.txt	force/torque not valid for last action	5	1736606154.3980966	1736606161.781531	7.383434534072876	True	Pick D-SUB.	pick	D-SUB	222	7385	4060	False	True	True
2025-01-11-15-35-08	v2_anchor	train_split1.txt	force/torque not valid for last action	6	1736606161.7982297	1736606176.3981545	14.599924802780151	True	Insert D-SUB.	insert	D-SUB	438	14599	8215	False	True	True
2025-01-11-15-35-08	v2_anchor	train_split1.txt	force/torque not valid for last action	7	1736606176.415841	1736606182.8982294	6.482388257980347	True	Pick USB.	pick	USB	194	6482	3641	False	True	True
2025-01-11-15-35-08	v2_anchor	train_split1.txt	force/torque not valid for last action	8	1736606182.9150715	1736606196.1148565	13.199784994125366	True	Insert USB.	insert	USB	396	13204	7462	False	True	True
2025-01-11-15-35-08	v2_anchor	train_split1.txt	force/torque not valid for last action	9	1736606196.1318235	1736606208.0481803	11.916356801986694	True	Pick large gear.	pick	large gear	358	11917	6716	False	True	True
2025-01-11-15-35-08	v2_anchor	train_split1.txt	force/torque not valid for last action	10	1736606208.0654814	1736606223.981648	15.916166543960571	True	Insert large gear.	insert	large gear	478	15915	9024	False	True	True
2025-01-11-15-35-08	v2_anchor	train_split1.txt	force/torque not valid for last action	11	1736606223.9981675	1736606230.7981002	6.7999327182769775	True	Pick medium gear.	pick	medium gear	204	6800	3817	False	True	True
2025-01-11-15-35-08	v2_anchor	train_split1.txt	force/torque not valid for last action	12	1736606230.8148232	1736606248.881508	18.06668496131897	True	Insert medium gear.	insert	medium gear	542	18064	10304	False	True	True
2025-01-11-15-35-08	v2_anchor	train_split1.txt	force/torque not valid for last action	13	1736606248.8982286	1736606256.6817603	7.783531665802002	True	Pick small gear.	pick	small gear	234	7786	4417	False	True	True
2025-01-11-15-35-08	v2_anchor	train_split1.txt	force/torque not valid for last action	14	1736606256.6982038	1736606284.1982045	27.500000715255737	False	Insert small gear.	insert	small gear	825	20173	15905	False	True	True
2025-01-11-15-35-08	v2_anchor	train_split1.txt	force/torque not valid for last action	15	1736606284.2149043	1736606288.614845	4.399940729141235	True	No action.	no_action		132	0	2454	True	False	False
2025-01-10-15-28-50	v2_anchor	train_split1.txt	hand camera missing at beginning	0	1736519331.4279895	1736519333.7946332	2.3666436672210693	True	No action.	no_action		71	2367	1376	False	True	False
2025-01-10-15-28-50	v2_anchor	train_split1.txt	hand camera missing at beginning	1	1736519333.811616	1736519344.911281	11.09966516494751	True	Pick BNC.	pick	BNC	333	11099	6608	False	True	True
2025-01-10-15-28-50	v2_anchor	train_split1.txt	hand camera missing at beginning	2	1736519344.9279914	1736519378.6946049	33.766613483428955	True	Insert BNC.	insert	BNC	1013	33769	19852	False	True	True
2025-01-10-15-28-50	v2_anchor	train_split1.txt	hand camera missing at beginning	3	1736519378.711637	1736519389.0279815	10.316344499588013	True	Pick D-SUB.	pick	D-SUB	309	10319	5956	False	True	True
2025-01-10-15-28-50	v2_anchor	train_split1.txt	hand camera missing at beginning	4	1736519389.0446646	1736519423.8279707	34.78330612182617	False	Insert D-SUB.	insert	D-SUB	1043	34784	20522	False	True	True
2025-01-10-15-28-50	v2_anchor	train_split1.txt	hand camera missing at beginning	5	1736519423.8459544	1736519430.8946607	7.048706293106079	True	Pick D-SUB.	pick	D-SUB	211	7049	4033	False	True	True
2025-01-10-15-28-50	v2_anchor	train_split1.txt	hand camera missing at beginning	6	1736519430.9135878	1736519435.4611692	4.547581434249878	True	Place D-SUB.	place	D-SUB	136	4549	2641	False	True	True
2025-01-10-15-28-50	v2_anchor	train_split1.txt	hand camera missing at beginning	7	1736519435.4779992	1736519441.8946304	6.41663122177124	True	Pick medium gear.	pick	medium gear	192	6416	3770	False	True	True
2025-01-10-15-28-50	v2_anchor	train_split1.txt	hand camera missing at beginning	8	1736519441.9113216	1736519452.678128	10.766806364059448	True	Insert medium gear.	insert	medium gear	322	10767	6396	False	True	True
2025-01-10-15-28-50	v2_anchor	train_split1.txt	hand camera missing at beginning	9	1736519452.6946115	1736519459.644612	6.950000524520874	True	Pick large gear.	pick	large gear	210	6950	4059	False	True	True
2025-01-10-15-28-50	v2_anchor	train_split1.txt	hand camera missing at beginning	10	1736519459.661384	1736519473.0112925	13.349908351898193	True	Insert large gear.	insert	large gear	401	13350	7871	False	True	True
2025-01-10-15-28-50	v2_anchor	train_split1.txt	hand camera missing at beginning	11	1736519473.027989	1736519480.5946455	7.566656589508057	True	Pick Ethernet.	pick	Ethernet	227	7568	4407	False	True	True
2025-01-10-15-28-50	v2_anchor	train_split1.txt	hand camera missing at beginning	12	1736519480.6112902	1736519500.9279833	20.31669306755066	True	Insert Ethernet.	insert	Ethernet	609	20316	11772	False	True	True
2025-01-10-15-28-50	v2_anchor	train_split1.txt	hand camera missing at beginning	13	1736519500.9447484	1736519511.144628	10.19987964630127	True	Pick square peg 4.	pick	square peg 4	306	10201	5786	False	True	True
2025-01-10-15-28-50	v2_anchor	train_split1.txt	hand camera missing at beginning	14	1736519511.161429	1736519529.161496	18.000066995620728	True	Insert square peg 4.	insert	square peg 4	540	18000	10292	False	True	True
2025-01-10-15-28-50	v2_anchor	train_split1.txt	hand camera missing at beginning	15	1736519529.1779718	1736519538.42795	9.249978065490723	True	Pick USB.	pick	USB	277	9248	5273	False	True	True
2025-01-10-15-28-50	v2_anchor	train_split1.txt	hand camera missing at beginning	16	1736519538.444887	1736519551.7779434	13.333056449890137	True	Insert USB.	insert	USB	400	13334	7655	False	True	True
2025-01-10-15-28-50	v2_anchor	train_split1.txt	hand camera missing at beginning	17	1736519551.7946656	1736519561.344671	9.550005435943604	True	Pick small gear.	pick	small gear	287	9551	5517	False	True	True
