action	recording_id	n	failure	false_success	false_failure
pick	2025-01-09-17-14-59	0	0	0	0
pick	2025-01-10-15-34-33	13	3	1	0
pick	2025-01-10-16-37-45	17	0	0	0
pick	2025-01-11-14-43-37	1	1	1	0
pick	2025-01-13-17-02-10	12	0	0	0
insert	2025-01-09-17-14-59	0	0	0	0
insert	2025-01-10-15-34-33	12	2	2	1
insert	2025-01-10-16-37-45	18	1	1	1
insert	2025-01-11-14-43-37	0	0	0	0
insert	2025-01-13-17-02-10	12	1	1	1
remove	2025-01-09-17-14-59	19	2	1	13
remove	2025-01-10-15-34-33	0	0	0	0
remove	2025-01-10-16-37-45	0	0	0	0
remove	2025-01-11-14-43-37	0	0	0	0
remove	2025-01-13-17-02-10	0	0	0	0
