candidate	action	n	success	failure	tp	tn	fp	fn	success_recall	failure_recall	balanced_accuracy	brier	log_loss	ece_5
family_prior	pick	43	39	4	39	0	4	0	1.0	0.0	0.5	0.08530159883720931	0.31645016775173024	0.030523255813953543
family_prior	insert	42	38	4	38	0	4	0	1.0	0.0	0.5	0.10491071428571429	0.37808021868273206	0.13690476190476186
family_prior	remove	19	17	2	17	0	2	0	1.0	0.0	0.5	0.09420423416953203	0.33660656886318957	0.0046269519953729965
text_prior	pick	43	39	4	39	0	4	0	1.0	0.0	0.5	0.08457663250342953	0.3088159847786466	0.07807560656397879
text_prior	insert	42	38	4	35	0	4	3	0.9210526315789473	0.0	0.4605263157894737	0.14921949166325327	0.47354927621271115	0.17151704115989821
text_prior	remove	19	17	2	17	0	2	0	1.0	0.0	0.5	0.1019811433345268	0.358424609440217	0.1077694235588971
duration_d1	pick	43	39	4	12	2	2	27	0.3076923076923077	0.5	0.40384615384615385	0.08768372902161838	0.344435552917613	0.02396231969384721
duration_d1	insert	42	38	4	15	0	4	23	0.39473684210526316	0.0	0.19736842105263158	0.1348134350840866	0.45338469710179663	0.20130272952853587
duration_d1	remove	19	17	2	6	1	1	11	0.35294117647058826	0.5	0.42647058823529416	0.10245632290925023	0.3700341098377753	0.04668930390492354
duration_d2	pick	43	39	4	12	2	2	27	0.3076923076923077	0.5	0.40384615384615385	0.09159015324409957	0.3541009306677462	0.04969022178324519
duration_d2	insert	42	38	4	15	0	4	23	0.39473684210526316	0.0	0.19736842105263158	0.12126163570504944	0.4318800036275475	0.15717377860235024
duration_d2	remove	19	17	2	4	1	1	13	0.23529411764705882	0.5	0.36764705882352944	0.1218171775860755	0.45392753418050746	0.047426836900521074
state_d1	pick	43	39	4	39	2	2	0	1.0	0.5	0.75	0.04605521782637456	0.20938454779835738	0.03533393361691562
state_d1	insert	42	38	4	35	0	4	3	0.9210526315789473	0.0	0.4605263157894737	0.1414958273544674	0.4619406208525635	0.08266193075168204
state_d1	remove	19	17	2	13	2	0	4	0.7647058823529411	1.0	0.8823529411764706	0.07244894377056689	0.2282384727619436	0.04486540378863414
state_d2	pick	43	39	4	38	2	2	1	0.9743589743589743	0.5	0.7371794871794872	0.04853669694051812	0.23881642994601668	0.05068073741124364
state_d2	insert	42	38	4	35	0	4	3	0.9210526315789473	0.0	0.4605263157894737	0.12776489938764035	0.39394317995705014	0.06694380369346481
state_d2	remove	19	17	2	14	0	2	3	0.8235294117647058	0.0	0.4117647058823529	0.10812711508731354	0.3406820927602266	0.13508063087010452
force_d1	pick	43	39	4	33	1	3	6	0.8461538461538461	0.25	0.5480769230769231	0.08631520333626368	0.3304860515908466	0.03317612619938237
force_d1	insert	42	38	4	37	0	4	1	0.9736842105263158	0.0	0.4868421052631579	0.11294916629042596	0.393879824993333	0.1167588530739398
force_d1	remove	19	17	2	17	0	2	0	1.0	0.0	0.5	0.09521274930335955	0.3432463144577406	0.0320924261874197
force_d2	pick	43	39	4	35	1	3	4	0.8974358974358975	0.25	0.5737179487179487	0.09279833702643252	0.39491230026376517	0.07301888361008584
force_d2	insert	42	38	4	32	0	4	6	0.8421052631578947	0.0	0.42105263157894735	0.1251638937747472	0.41687374635570906	0.10281385281385284
force_d2	remove	19	17	2	6	1	1	11	0.35294117647058826	0.5	0.42647058823529416	0.10518576341507402	0.3987272356694804	0.02889850621248069
combined_d1	pick	43	39	4	39	2	2	0	1.0	0.5	0.75	0.04605521782637456	0.20938454779835738	0.03533393361691562
combined_d1	insert	42	38	4	35	0	4	3	0.9210526315789473	0.0	0.4605263157894737	0.1414958273544674	0.4619406208525635	0.08266193075168204
combined_d1	remove	19	17	2	13	2	0	4	0.7647058823529411	1.0	0.8823529411764706	0.07244894377056689	0.2282384727619436	0.04486540378863414
combined_d2	pick	43	39	4	38	2	2	1	0.9743589743589743	0.5	0.7371794871794872	0.04853669694051812	0.23881642994601668	0.05068073741124364
combined_d2	insert	42	38	4	35	0	4	3	0.9210526315789473	0.0	0.4605263157894737	0.12776489938764035	0.39394317995705014	0.06694380369346481
combined_d2	remove	19	17	2	13	0	2	4	0.7647058823529411	0.0	0.38235294117647056	0.11240552127326638	0.3574073613712298	0.15109288372446245
selected	pick	43	39	4	39	2	2	0	1.0	0.5	0.75	0.04605521782637456	0.20938454779835738	0.03533393361691562
selected	insert	42	38	4	35	0	4	3	0.9210526315789473	0.0	0.4605263157894737	0.12776489938764035	0.39394317995705014	0.06694380369346481
selected	remove	19	17	2	4	1	1	13	0.23529411764705882	0.5	0.36764705882352944	0.1218171775860755	0.45392753418050746	0.047426836900521074
