split	action	recording_id	n	failure	false_success	false_failure
train	pick	2025-01-10-15-28-50	9	0	0	6
train	pick	2025-01-10-17-36-05	0	0	0	0
train	pick	2025-01-10-18-31-44	22	2	1	19
train	pick	2025-01-11-11-35-53	11	0	0	11
train	pick	2025-01-11-15-35-08	7	0	0	3
train	pick	2025-01-13-11-31-57	11	1	1	4
train	pick	2025-01-13-15-06-09	0	0	0	0
train	pick	2025-01-13-17-40-45	8	0	0	3
train	pick	2025-01-13-17-51-11	0	0	0	0
train	pick	2025-01-13-18-32-31	19	1	1	2
train	pick	2025-01-13-19-04-46	2	0	0	0
train	pick	2025-01-14-10-49-57	0	0	0	0
train	pick	2025-01-14-10-57-14	18	1	1	5
train	pick	2025-01-14-11-06-43	2	1	1	0
train	pick	2025-01-14-12-05-01	1	0	0	0
train	insert	2025-01-10-15-28-50	8	1	1	1
train	insert	2025-01-10-17-36-05	0	0	0	0
train	insert	2025-01-10-18-31-44	21	4	2	0
train	insert	2025-01-11-11-35-53	12	3	1	0
train	insert	2025-01-11-15-35-08	7	1	1	0
train	insert	2025-01-13-11-31-57	13	4	2	0
train	insert	2025-01-13-15-06-09	0	0	0	0
train	insert	2025-01-13-17-40-45	7	1	0	0
train	insert	2025-01-13-17-51-11	0	0	0	0
train	insert	2025-01-13-18-32-31	19	5	3	1
train	insert	2025-01-13-19-04-46	2	2	1	0
train	insert	2025-01-14-10-49-57	0	0	0	0
train	insert	2025-01-14-10-57-14	19	4	1	2
train	insert	2025-01-14-11-06-43	1	0	0	0
train	insert	2025-01-14-12-05-01	1	0	0	0
train	remove	2025-01-10-15-28-50	0	0	0	0
train	remove	2025-01-10-17-36-05	17	1	0	1
train	remove	2025-01-10-18-31-44	0	0	0	0
train	remove	2025-01-11-11-35-53	0	0	0	0
train	remove	2025-01-11-15-35-08	0	0	0	0
train	remove	2025-01-13-11-31-57	0	0	0	0
train	remove	2025-01-13-15-06-09	18	1	0	4
train	remove	2025-01-13-17-40-45	0	0	0	0
train	remove	2025-01-13-17-51-11	2	1	0	0
train	remove	2025-01-13-18-32-31	0	0	0	0
train	remove	2025-01-13-19-04-46	0	0	0	0
train	remove	2025-01-14-10-49-57	15	2	2	0
train	remove	2025-01-14-10-57-14	0	0	0	0
train	remove	2025-01-14-11-06-43	20	4	3	2
train	remove	2025-01-14-12-05-01	17	0	0	1
test	pick	2025-01-09-17-14-59	0	0	0	0
test	pick	2025-01-10-15-34-33	13	3	3	0
test	pick	2025-01-10-16-37-45	17	0	0	0
test	pick	2025-01-11-14-43-37	1	1	1	0
test	pick	2025-01-13-17-02-10	12	0	0	0
test	insert	2025-01-09-17-14-59	0	0	0	0
test	insert	2025-01-10-15-34-33	12	2	2	0
test	insert	2025-01-10-16-37-45	18	1	1	1
test	insert	2025-01-11-14-43-37	0	0	0	0
test	insert	2025-01-13-17-02-10	12	1	1	1
test	remove	2025-01-09-17-14-59	19	2	0	0
test	remove	2025-01-10-15-34-33	0	0	0	0
test	remove	2025-01-10-16-37-45	0	0	0	0
test	remove	2025-01-11-14-43-37	0	0	0	0
test	remove	2025-01-13-17-02-10	0	0	0	0
