split	method	action	n	success	failure	tp	tn	fp	fn	success_recall	failure_recall	balanced_accuracy	brier	log_loss	ece_5
train	duration	pick	110	104	6	38	5	1	66	0.36538461538461536	0.8333333333333334	0.5993589743589743	0.05313250475004333	0.2225176748976341	0.0029413994099613257
train	duration	insert	110	85	25	49	12	13	36	0.5764705882352941	0.48	0.528235294117647	0.1736850451795651	0.5299796681047015	0.02936194015147764
train	duration	remove	89	80	9	50	7	2	30	0.625	0.7777777777777778	0.7013888888888888	0.09490243145652082	0.3502872281160737	0.0018456287020156559
train	force	pick	110	104	6	85	0	6	19	0.8173076923076923	0.0	0.40865384615384615	0.06527985629230801	0.32929003863120043	0.036189204717263244
train	force	insert	110	85	25	58	16	9	27	0.6823529411764706	0.64	0.6611764705882353	0.1548685604087117	0.7032748690573952	0.021502746857616956
train	force	remove	89	80	9	52	4	5	28	0.65	0.4444444444444444	0.5472222222222223	0.11286719960887501	0.4759245665805652	0.05438143752393891
train	state	pick	110	104	6	62	2	4	42	0.5961538461538461	0.3333333333333333	0.46474358974358976	0.06888751216036985	0.4076824284754234	0.051188926696161915
train	state	insert	110	85	25	81	15	10	4	0.9529411764705882	0.6	0.776470588235294	0.11918189597040521	0.42975741162662323	0.08620065037929946
train	state	remove	89	80	9	73	5	4	7	0.9125	0.5555555555555556	0.7340277777777777	0.0804853258389023	0.45971861649739093	0.02406251248597361
train	state_force	pick	110	104	6	51	1	5	53	0.49038461538461536	0.16666666666666666	0.328525641025641	0.07624529718514672	0.3244180262822817	0.047579597054386635
train	state_force	insert	110	85	25	81	13	12	4	0.9529411764705882	0.52	0.7364705882352941	0.12348245458000352	0.46565460811471826	0.06445911366268271
train	state_force	remove	89	80	9	72	4	5	8	0.9	0.4444444444444444	0.6722222222222223	0.08942655421929244	0.4608286739324388	0.03194500549965776
train	state_force_duration	pick	110	104	6	51	1	5	53	0.49038461538461536	0.16666666666666666	0.328525641025641	0.07661186007717469	0.32589199117323986	0.04792848784696041
train	state_force_duration	insert	110	85	25	80	13	12	5	0.9411764705882353	0.52	0.7305882352941176	0.1252875029963012	0.47159414051307375	0.06344888047657787
train	state_force_duration	remove	89	80	9	71	4	5	9	0.8875	0.4444444444444444	0.6659722222222222	0.08937396225567446	0.46155338648465166	0.03200370987411703
train	state_force_peak	pick	110	104	6	69	2	4	35	0.6634615384615384	0.3333333333333333	0.4983974358974359	0.060994404691061335	0.33304524898576354	0.036364709672246545
train	state_force_peak	insert	110	85	25	81	14	11	4	0.9529411764705882	0.56	0.7564705882352941	0.12390287503935844	0.47210796362827273	0.07571012779452611
train	state_force_peak	remove	89	80	9	68	4	5	12	0.85	0.4444444444444444	0.6472222222222221	0.07996128688298919	0.342917440864657	0.010898339988357035
train	v5_combined_d1	pick	110	104	6	103	5	1	1	0.9903846153846154	0.8333333333333334	0.9118589743589745	0.017598734772464177	0.08556317347957805	0.015813578414626103
train	v5_combined_d1	insert	110	85	25	83	14	11	2	0.9764705882352941	0.56	0.7682352941176471	0.10618781868394263	0.3738818065354736	0.007122304121769509
train	v5_combined_d1	remove	89	80	9	57	4	5	23	0.7125	0.4444444444444444	0.5784722222222223	0.10762866315158982	0.4031765187832898	0.07129512479033118
train	v5_combined_d2	pick	110	104	6	97	5	1	7	0.9326923076923077	0.8333333333333334	0.8830128205128205	0.021793773052902875	0.09549374583196062	0.023106543609721055
train	v5_combined_d2	insert	110	85	25	83	14	11	2	0.9764705882352941	0.56	0.7682352941176471	0.10580697820674322	0.3596263589321227	0.059714848559276945
train	v5_combined_d2	remove	89	80	9	55	4	5	25	0.6875	0.4444444444444444	0.5659722222222222	0.1169881764376113	0.42252895658485523	0.1223185944389634
train	v5_duration_d1	pick	110	104	6	33	6	0	71	0.3173076923076923	1.0	0.6586538461538461	0.051311277490073	0.2059339315432281	0.018580714556514995
train	v5_duration_d1	insert	110	85	25	43	12	13	42	0.5058823529411764	0.48	0.4929411764705882	0.18606192989147763	0.5676584172730385	0.07267862314752066
train	v5_duration_d1	remove	89	80	9	52	2	7	28	0.65	0.2222222222222222	0.4361111111111111	0.12770987705250658	0.42740963630059087	0.12289241750519371
train	v5_duration_d2	pick	110	104	6	69	0	6	35	0.6634615384615384	0.0	0.3317307692307692	0.056790478614366535	0.22916791650492935	0.017511821819080994
train	v5_duration_d2	insert	110	85	25	46	12	13	39	0.5411764705882353	0.48	0.5105882352941176	0.18995760457465896	0.5825959484182652	0.09227842016772464
train	v5_duration_d2	remove	89	80	9	45	6	3	35	0.5625	0.6666666666666666	0.6145833333333333	0.12881204927409398	0.4167504782665676	0.1432608600562194
train	v5_family_prior	pick	110	104	6	104	0	6	0	1.0	0.0	0.5	0.05211010399635065	0.21635606145618166	0.008445561983619126
train	v5_family_prior	insert	110	85	25	85	0	25	0	1.0	0.0	0.5	0.17680725628859797	0.5393099580738611	0.006109096032849716
train	v5_family_prior	remove	89	80	9	80	0	9	0	1.0	0.0	0.5	0.09411027871536103	0.34407544414680125	0.011858183725385987
train	v5_force_d1	pick	110	104	6	75	1	5	29	0.7211538461538461	0.16666666666666666	0.4439102564102564	0.05974077825871059	0.2525457525257467	0.036855935905148574
train	v5_force_d1	insert	110	85	25	58	7	18	27	0.6823529411764706	0.28	0.4811764705882353	0.19185108254980146	0.5867981028064779	0.08350633566296226
train	v5_force_d1	remove	89	80	9	62	1	8	18	0.775	0.1111111111111111	0.44305555555555554	0.13424871134209387	0.446346498793045	0.12313330273693694
train	v5_force_d2	pick	110	104	6	74	2	4	30	0.7115384615384616	0.3333333333333333	0.5224358974358975	0.06693842296336473	0.26976670866360813	0.0348334927291705
train	v5_force_d2	insert	110	85	25	55	12	13	30	0.6470588235294118	0.48	0.5635294117647058	0.19360358778086514	0.5960645159299972	0.07057047134188352
train	v5_force_d2	remove	89	80	9	46	4	5	34	0.575	0.4444444444444444	0.5097222222222222	0.13633460222148702	0.46179124949845535	0.12473481183507643
train	v5_selected	pick	110	104	6	103	5	1	1	0.9903846153846154	0.8333333333333334	0.9118589743589745	0.017598734772464177	0.08556317347957805	0.015813578414626103
