outer	group	action	C	threshold	inner_ba	inner_brier	coefficient_norm
2025-01-10-15-28-50	duration	pick	10.0	0.95	0.5280701754385965	0.05755683402772156	0.35759114617820154
2025-01-10-15-28-50	duration	insert	0.1	0.75	0.5977564102564102	0.1769858538189663	0.30323615108414187
2025-01-10-15-28-50	duration	remove	0.01	0.5	0.5	0.09413995966707124	0.0015398961765804573
2025-01-10-15-28-50	state	pick	10.0	0.7	0.5464912280701755	0.0788013625447868	2.418985528162619
2025-01-10-15-28-50	state	insert	1.0	0.5	0.8060897435897436	0.11019946783560222	1.2636955590835701
2025-01-10-15-28-50	state	remove	0.1	0.9	0.7520833333333333	0.0768394809181062	0.5072899928991609
2025-01-10-15-28-50	force	pick	10.0	0.95	0.5868421052631578	0.06435194814317624	3.4651874728836782
2025-01-10-15-28-50	force	insert	10.0	0.75	0.7131410256410257	0.15669965830721452	6.6222735005448055
2025-01-10-15-28-50	force	remove	10.0	0.55	0.5923611111111111	0.10899124425544726	4.664061768200397
2025-01-10-15-28-50	state_force	pick	0.1	0.975	0.537719298245614	0.05926974900883054	0.5657132347579528
2025-01-10-15-28-50	state_force	insert	0.1	0.45	0.7708333333333333	0.1166515640586637	0.8202112297061447
2025-01-10-15-28-50	state_force	remove	0.1	0.8	0.6909722222222222	0.08239101389581832	0.5730921157684434
2025-01-10-15-28-50	state_force_duration	pick	0.1	0.975	0.537719298245614	0.05930114168936823	0.56577163716412
2025-01-10-15-28-50	state_force_duration	insert	0.1	0.45	0.7708333333333333	0.11698150304082588	0.8194776849608768
2025-01-10-15-28-50	state_force_duration	remove	0.1	0.8	0.6909722222222222	0.08248217442390508	0.5732955703254426
2025-01-10-15-28-50	state_force_peak	pick	1.0	0.95	0.5763157894736842	0.0637286230846909	1.3994321704610415
2025-01-10-15-28-50	state_force_peak	insert	10.0	0.5	0.7916666666666667	0.11604769457048095	3.9675907687639382
2025-01-10-15-28-50	state_force_peak	remove	0.1	0.85	0.7402777777777778	0.0789995544455999	0.5240552833829761
2025-01-10-17-36-05	duration	pick	10.0	0.95	0.578525641025641	0.05295401878402147	0.33929033701153516
2025-01-10-17-36-05	duration	insert	1.0	0.75	0.5611764705882353	0.1748229384882424	0.36574202081928436
2025-01-10-17-36-05	duration	remove	0.1	0.5	0.5	0.10356461041022628	0.09799572032476017
2025-01-10-17-36-05	state	pick	0.1	0.975	0.5416666666666667	0.05293157063820819	0.417192819305502
2025-01-10-17-36-05	state	insert	1.0	0.6	0.788235294117647	0.11911891991320879	1.262195056711662
2025-01-10-17-36-05	state	remove	0.1	0.85	0.6875	0.09514029565520425	0.4284175125210355
2025-01-10-17-36-05	force	pick	10.0	0.15	0.5833333333333334	0.056893582702430036	3.4804701552919455
2025-01-10-17-36-05	force	insert	10.0	0.8	0.7058823529411765	0.15486856040871166	6.486157651203691
2025-01-10-17-36-05	force	remove	0.1	0.975	0.5078125	0.10963597050431141	0.32350759436241006
2025-01-10-17-36-05	state_force	pick	0.01	0.5	0.5	0.05220479781693901	0.16960646707817537
2025-01-10-17-36-05	state_force	insert	1.0	0.5	0.7741176470588236	0.11776508825678633	2.226799000331384
2025-01-10-17-36-05	state_force	remove	0.1	0.85	0.625	0.0987652229608252	0.513440962421419
2025-01-10-17-36-05	state_force_duration	pick	0.01	0.5	0.5	0.0522216046887001	0.16942663710460945
2025-01-10-17-36-05	state_force_duration	insert	1.0	0.5	0.7741176470588236	0.11787955057680581	2.2248084689159
2025-01-10-17-36-05	state_force_duration	remove	0.1	0.85	0.625	0.09872977337075454	0.5136332996411813
2025-01-10-17-36-05	state_force_peak	pick	1.0	0.95	0.6057692307692308	0.058137816254117666	1.4054438073234052
2025-01-10-17-36-05	state_force_peak	insert	10.0	0.5	0.7741176470588236	0.12198031179262074	4.5341878954150125
2025-01-10-17-36-05	state_force_peak	remove	0.1	0.9	0.6015625	0.09817877836415288	0.4379416806871505
2025-01-10-18-31-44	duration	pick	1.0	0.975	0.5119047619047619	0.04495375396344587	0.2418763613176392
